Flight No.;Launch site;Payload;Payload mass;Orbit;Customer;Launch outcome;Version Booster;Booster landing;Date;Time
1;CCAFS,SLC-40;Dragon Spacecraft Qualification Unit;0;LEO;SpaceX;Success;F9 v1.0B0003.1;Failure(parachute);4 June 2010;18:45
2;CCAFS,SLC-40;Dragon demo flight C1(Dragon C101);0;LEO (ISS);NASA (COTS)NRO;Success;F9 v1.0B0004.1;Failure(parachute);8 December 2010;15:43
3;CCAFS,SLC-40;Dragon demo flight C2+(Dragon C102);525kg;LEO (ISS);NASA (COTS);Success;F9 v1.0B0005.1;Not attempted;22 May 2012;07:44
4;CCAFS,SLC-40;SpaceX CRS-1(Dragon C103);4,700kg;LEO (ISS);NASA (CRS);Success;F9 v1.0B0006.1;No attempt;8 October 2012;00:35
5;CCAFS,SLC-40;SpaceX CRS-2(Dragon C104);4,877kg;LEO (ISS);NASA (CRS);Success;F9 v1.0B0007.1;Not attempted;1 March 2013;15:10
6;VAFB,SLC-4E;CASSIOPE;500kg;Polar orbit LEO;MDA;Success;F9 v1.1B1003;Uncontrolled(ocean)[d];29 September 2013;16:00
7;CCAFS,SLC-40;SES-8;3,170kg;GTO;SES;Success;F9 v1.1B1004;Not attempted;3 December 2013;22:41
8;CCAFS,SLC-40;Thaicom 6;3,325kg;GTO;Thaicom;Success;F9 v1.1;Not attempted;6 January 2014;22:06
9;Cape Canaveral,LC-40;SpaceX CRS-3(Dragon C105);2,296kg;LEO (ISS);NASA (CRS);Success;F9 v1.1;Controlled(ocean) [d];18 April 2014;19:25
10;Cape Canaveral,LC-40;Orbcomm-OG2-1(6 satellites);1,316kg;LEO;Orbcomm;Success;F9 v1.1;Controlled(ocean)[d];14 July 2014;15:15
11;Cape Canaveral,LC-40;AsiaSat 8;4,535kg;GTO;AsiaSat;Success;F9 v1.1;Not attempted;5 August 2014;08:00
12;Cape Canaveral,LC-40;AsiaSat 6;4,428kg;GTO;AsiaSat;Success;F9 v1.1B1011;Not attempted;7 September 2014;05:00
13;Cape Canaveral,LC-40;SpaceX CRS-4(Dragon C106.1);2,216kg;LEO (ISS);NASA (CRS);Success;F9 v1.1B1010;Uncontrolled(ocean)[d];21 September 2014;05:52
14;Cape Canaveral,LC-40;SpaceX CRS-5(Dragon C107);2,395kg;LEO (ISS);NASA (CRS);Success;F9 v1.1B1012;Failure (drone ship);10 January 2015;09:47
15;Cape Canaveral,LC-40;DSCOVR;570kg;HEO(Sun–Earth L1 insertion);USAFNASANOAA;Success;F9 v1.1B1013;Controlled(ocean)[d];11 February 2015;23:03
16;Cape Canaveral,LC-40;ABS-3AEutelsat 115 West B;4,159kg;GTO;ABSEutelsat;Success;F9 v1.1B1014;Not attempted;2 March 2015;03:50
17;Cape Canaveral,LC-40;SpaceX CRS-6(Dragon C108.1);1,898kg;LEO (ISS);NASA (CRS);Success;F9 v1.1B1015;Failure(drone ship);14 April 2015;20:10
18;Cape Canaveral,LC-40;TürkmenÄlem 52°E / MonacoSAT;4,707kg;GTO;Turkmenistan NationalSpace Agency;Success;F9 v1.1B1016;Not attempted;27 April 2015;23:03
